Description,Genre
"A funny story of two friends on a trip",Comedy
"A hero fights villains to save the world",Action
"A love story between two young people",Romance
"A haunted house with scary ghosts",Horror
"A detective solves a mysterious crime",Thriller
"A hilarious comedy with lots of jokes",Comedy
"A soldier battles enemies in war",Action
"A romantic drama with emotional scenes",Romance
"A terrifying night in a haunted forest",Horror
"A police officer investigates a murder case",Thriller
"A group of friends get into funny situations",Comedy
"An action hero saves people from danger",Action
"A couple falls in love during college",Romance
"A ghost haunts a small village",Horror
"A suspenseful investigation of a missing person",Thriller
"A comedy show full of laughter and fun",Comedy
"A warrior fights enemies in an epic battle",Action
"A love triangle with emotional drama",Romance
"A scary story about a cursed house",Horror
"A detective uncovers a hidden conspiracy",Thriller
"A funny family dealing with daily problems",Comedy
"A spy saves the country from enemies",Action
"A beautiful romantic journey of two lovers",Romance
"A horror tale of zombies attacking a city",Horror
"A crime thriller involving robbery and chase",Thriller
"A stand-up comedian making people laugh",Comedy
"A superhero fights against evil forces",Action
"A touching romantic story with heartbreak",Romance
"A haunted mansion with supernatural events",Horror
"A mystery thriller with unexpected twists",Thriller